,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
98,drivers license,Olivia Rodrigo,0.585,0.436,10.0,-8.761,1.0,0.0601,0.721,1.31e-05,0.105,0.132,143.874,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,242014.0,4.0
99,Dynamite,BTS,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044,spotify:track:4saklk6nie3yiGePpBwUoc,199054.0,4.0
100,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,0.652,0.383,2.0,-7.076,0.0,0.0516,0.0676,0.0,0.0828,0.549,145.765,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,178994.0,4.0
101,Monster (Shawn Mendes & Justin Bieber),Justin Bieber,0.652,0.383,2.0,-7.076,0.0,0.0516,0.0676,0.0,0.0828,0.549,145.765,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,178994.0,4.0
102,34+35,Ariana Grande,0.83,0.585,0.0,-6.476,1.0,0.094,0.237,0.0,0.248,0.485,109.978,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,173711.0,4.0
103,Be Kind (with Halsey),Marshmello,0.63,0.633,4.0,-7.088,1.0,0.0457,0.00776,0.0,0.0541,0.452,93.995,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,172762.0,4.0
104,Be Kind (with Halsey),Halsey,0.63,0.633,4.0,-7.088,1.0,0.0457,0.00776,0.0,0.0541,0.452,93.995,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,172762.0,4.0
105,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,spotify:track:4iJyoBOLtHqaGxP12qzhQI,198082.0,4.0
106,Peaches (feat. Daniel Caesar & Giveon),Daniel Caesar,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,spotify:track:4iJyoBOLtHqaGxP12qzhQI,198082.0,4.0
107,Peaches (feat. Daniel Caesar & Giveon),Giveon,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,spotify:track:4iJyoBOLtHqaGxP12qzhQI,198082.0,4.0
108,2002,Anne-Marie,0.697,0.683,1.0,-2.881,0.0,0.117,0.0372,0.0,0.137,0.603,96.133,spotify:track:2BgEsaKNfHUdlh97KmvFyo,186987.0,4.0
109,deja vu,Olivia Rodrigo,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,215507.0,4.0
110,you broke me first,Tate McRae,0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,spotify:track:45bE4HXI0AwGZXfZtMp8JR,169266.0,4.0
111,Adore You,Harry Styles,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,spotify:track:3jjujdWJ72nww5eGnfs2E7,207133.0,4.0
112,Butter,BTS,0.759,0.459,8.0,-5.187,1.0,0.0948,0.00323,0.0,0.0906,0.695,109.997,spotify:track:2bgTY4UwhfBYhGT4HUYStN,164442.0,4.0
113,If I Can't Have You,Shawn Mendes,0.692,0.809,2.0,-4.198,1.0,0.0602,0.524,0.0,0.147,0.864,123.911,spotify:track:6LsAAHotRLMOHfCsSfYCsz,190800.0,4.0
